#Rozk³ad przychodów i aktywów netto w trzech hrabstwach

Aktywa	Przych	Hrabstwo
2,8	3,2	ROGERS
3,4	6,4	DODGE
2,2	3,3	ROGERS
3,2	3,0	ROGERS
3,0	3,2	ROGERS
2,7	2,7	ROGERS
2,5	3,9	ROGERS
3,0	2,3	HIGHLAND
3,2	1,9	HIGHLAND
2,8	3,3	ROGERS
3,4	2,4	HIGHLAND
3,8	1,1	HIGHLAND
3,3	3,1	ROGERS
3,3	2,1	HIGHLAND
3,0	1,2	HIGHLAND
2,5	3,3	HIGHLAND
3,0	2,6	HIGHLAND
3,2	3,1	ROGERS
3,2	3,3	ROGERS
2,8	3,8	ROGERS
3,0	2,7	HIGHLAND
2,4	4,0	ROGERS
2,5	2,8	HIGHLAND
3,2	2,5	HIGHLAND
3,0	3,3	ROGERS
3,8	1,4	HIGHLAND
3,2	6,5	DODGE
3,3	2,1	HIGHLAND
2,6	3,8	ROGERS
2,8	1,1	HIGHLAND
2,7	2,9	HIGHLAND
2,6	3,4	ROGERS
3,2	1,8	HIGHLAND
3,0	6,4	DODGE
3,8	6,2	DODGE
3,0	2,9	HIGHLAND
3,4	5,9	DODGE
3,0	6,2	DODGE
3,2	6,6	DODGE
2,6	2,2	HIGHLAND
2,8	2,2	HIGHLAND
3,0	6,7	DODGE
4,0	6,6	DODGE
3,8	5,9	DODGE
3,1	3,4	ROGERS
2,8	3,0	HIGHLAND
3,0	6,4	DODGE
3,5	6,4	DODGE
3,0	3,3	ROGERS
2,7	3,7	ROGERS
3,4	6,2	DODGE
3,2	6,4	DODGE
2,9	3,3	ROGERS
2,6	4,3	ROGERS
4,4	6,3	DODGE
3,6	6,4	DODGE
3,0	1,7	HIGHLAND
3,4	2,2	HIGHLAND
2,7	2,7	HIGHLAND
2,9	3,6	ROGERS
3,0	2,0	HIGHLAND
3,0	1,9	HIGHLAND
3,1	2,3	HIGHLAND
3,0	3,0	HIGHLAND
2,9	2,2	HIGHLAND
2,4	4,5	ROGERS
2,7	3,6	ROGERS
3,0	3,6	ROGERS
4,2	6,4	DODGE
3,1	6,3	DODGE
2,6	,9	HIGHLAND
2,2	2,8	HIGHLAND
3,9	6,1	DODGE
2,9	3,2	ROGERS
2,7	3,9	ROGERS
3,4	3,3	ROGERS
3,4	6,3	DODGE
2,9	6,4	DODGE
2,0	4,3	ROGERS
2,4	4,1	ROGERS
2,7	3,9	ROGERS
3,2	6,5	DODGE
3,1	6,3	DODGE
3,2	2,1	HIGHLAND
2,9	3,5	ROGERS
2,8	1,7	HIGHLAND
3,0	3,6	ROGERS
3,4	6,3	DODGE
3,5	6,5	DODGE
2,8	2,9	HIGHLAND
2,2	3,8	ROGERS
2,9	1,5	HIGHLAND
2,5	2,0	HIGHLAND
3,1	6,3	DODGE
3,1	3,1	ROGERS
2,3	3,4	ROGERS
3,7	6,3	DODGE
3,0	3,7	ROGERS
2,5	2,9	ROGERS
2,8	3,1	ROGERS
2,9	3,5	ROGERS
2,5	4,8	ROGERS
2,8	3,7	ROGERS
3,0	2,0	HIGHLAND
3,1	2,4	HIGHLAND
3,9	6,5	DODGE
3,5	6,4	DODGE
3,6	1,7	HIGHLAND
3,2	2,7	HIGHLAND
2,9	3,1	ROGERS
2,9	4,2	ROGERS
3,1	2,9	ROGERS
2,7	2,5	HIGHLAND
3,0	2,3	HIGHLAND
2,5	3,8	ROGERS
3,4	6,2	DODGE
3,0	6,4	DODGE
2,3	6,5	DODGE
2,5	2,8	HIGHLAND
3,8	6,1	DODGE
3,8	6,3	DODGE
2,3	3,8	ROGERS
3,0	3,4	ROGERS
2,8	3,0	ROGERS
3,4	6,1	DODGE
3,7	6,3	DODGE
3,5	6,3	DODGE
2,8	2,7	HIGHLAND
3,0	2,8	ROGERS
3,3	1,8	HIGHLAND
3,7	6,3	DODGE
2,3	4,5	ROGERS
